symptoms,disease
"Low birth weight, reduced growth in the womb, abnormal fetal heart rate",Intrauterine Growth Restriction (IUGR)
"Breathing difficulty, noisy breathing, hoarse voice, shortness of breath",Idiopathic Subglottic Stenosis
"High systolic blood pressure, dizziness, fainting, headaches, shortness of breath",Isolated Systolic Hypertension
"Rapid breathing, grunting, flaring nostrils, blue skin (cyanosis), chest retractions",Infant Respiratory Distress Syndrome
"Red or purple spots on skin, fever, joint pain, abdominal pain, kidney inflammation",Immune Complex Vasculitis
"Short height, slow growth, delayed puberty",Idiopathic Short Stature
"Weight gain, round face, high blood pressure, thinning of the skin, fatigue",Iatrogenic Cushing's Syndrome
"Cough, shortness of breath, chest pain, fever, fatigue",Immunotherapy-Induced Pneumonitis
"Eye pain, vision loss in one eye, reduced color vision, flashing lights",Idiopathic Optic Neuritis
"In snakes: regurgitation, loss of muscle control, weight loss, neurological symptoms",Inclusion Body Disease (IBD)
"Shortness of breath, cough, fatigue, weight loss, low blood oxygen levels",Idiopathic Pulmonary Alveolar Proteinosis
"Muscle contractions, abnormal postures, repetitive movements, tremors",Idiopathic Dystonia
"Skin blisters, pustules, redness, fever, nausea, vomiting",Impetigo Herpetiformis
"Red or purple skin marks, raised lesions, growth during infancy, bleeding",Infantile Hemangioma
"Kidney stones, frequent urination, blood in urine, abdominal pain, bone pain",Idiopathic Hypercalciuria
"Nausea, vomiting, bloating, early satiety, weight loss",Idiopathic Gastroparesis
"Low sperm count, poor sperm motility, sexual dysfunction, lack of sperm",Idiopathic Male Infertility
"Blood in urine, protein in urine, high blood pressure, kidney inflammation, swelling",Immune Complex Glomerulonephritis
"Skin rash, diarrhea, liver dysfunction, thyroid disorders, pneumonitis",Immune-Related Adverse Events (irAEs)
"Breathing difficulties during sleep, blue skin, shallow breathing, poor sleep quality",Idiopathic Congenital Central Hypoventilation Syndrome
"Severe headaches, vision problems, ringing in ears, nausea, vomiting",Intracranial Hypertension
"Hives, swelling of lips or tongue, difficulty breathing, rapid heart rate",Idiopathic Cold Urticaria
"Fatigue, shortness of breath, pale skin, frequent infections, easy bruising",Idiopathic Aplastic Anemia
"Excessive sweating, clammy skin, sweat-soaked clothing, anxiety",Idiopathic Hyperhidrosis
"Seizures, loss of consciousness, staring spells, muscle stiffness",Idiopathic Generalized Epilepsy
"Chest pain, shortness of breath, fatigue, irregular heartbeat, heart failure",Immunotherapy-Related Myocarditis
"Fatigue, weakness, anemia, easy bruising, enlarged spleen",Idiopathic Myelofibrosis
"Seizures, developmental delays, sudden jerking movements, poor muscle tone",Infantile Spasms (West Syndrome)
"Coughing up blood, difficulty breathing, fatigue, pallor",Idiopathic Pulmonary Hemosiderosis
"Shortness of breath, chest pain, fatigue, dizziness, swelling in legs",Idiopathic Pulmonary Hypertension (IPH)
"Fever, headache, vomiting, confusion, seizures, paralysis, neurological complications",Japanese Encephalitis
"Joint pain, swelling, stiffness, fever, fatigue, limited range of motion",Juvenile Idiopathic Arthritis (JIA)
"Yellowing of the skin and eyes, dark urine, pale stools, fatigue, abdominal pain",Jaundice
"Fragile skin, blistering, sores on the skin and mucous membranes, dental problems",Junctional Epidermolysis Bullosa (JEB)
"Frequent infections, skin abscesses, eczema, pneumonia, high IgE levels, bone abnormalities",Job Syndrome (Hyper-IgE Syndrome)
"Joint pain, swelling, stiffness, fever, rashes, fatigue",Juvenile Rheumatoid Arthritis
"Abdominal swelling, vomiting bile, inability to pass stool, poor feeding in newborns",Jejunal Atresia
"Short stature, bowed limbs, hypercalcemia, bone deformities, joint pain",Jansen’s Metaphyseal Chondrodysplasia
"Myoclonic jerks (sudden muscle jerks), generalized seizures, absence seizures, twitching",Juvenile Myoclonic Epilepsy
"Burning pain, red welts, itching, swelling, muscle spasms, difficulty breathing (in severe cases)",Jellyfish Stings
"Growth retardation, developmental delays, pancreatic insufficiency, hypothyroidism, nasal abnormalities",Johanson-Blizzard Syndrome
"Bone pain, fractures, difficulty walking, reduced bone density, scoliosis",Juvenile Osteoporosis
"Congenital deafness, long QT interval on ECG, arrhythmias, fainting, sudden cardiac arrest",Jervell and Lange-Nielsen Syndrome
"Joint pain, frequent dislocations, fatigue, stretchy skin, digestive problems",Joint Hypermobility Syndrome
"Muscle weakness, skin rash, fatigue, difficulty swallowing, joint pain",Juvenile Dermatomyositis
"Gastrointestinal bleeding, rectal prolapse, diarrhea, abdominal pain, polyps in the digestive tract",Juvenile Polyposis Syndrome
"Lack of muscle coordination, abnormal eye movements, developmental delays, breathing problems, seizures",Joubert Syndrome
"Short stature, hypercalcemia, bone deformities, joint pain, muscle weakness",Jansen Type Metaphyseal Dysplasia
"Cone-rod dystrophy (vision problems), amelogenesis imperfecta (dental enamel defects), tooth abnormalities",Jalili Syndrome
"Yellowish skin nodules, eye inflammation, lesions on skin and organs, vision loss in severe cases",Juvenile Xanthogranuloma
"Short neck, abnormal rib structure, respiratory problems, scoliosis, short stature",Jarcho-Levin Syndrome
"Abdominal discomfort, excessive flatulence, bloating, indigestion, diarrhea",Jelly Belly Syndrome
"Bone pain, fractures, hearing loss, skeletal deformities, short stature",Juvenile Paget's Disease
"Movement problems, behavioral changes, cognitive decline, muscle rigidity, seizures",Juvenile Huntington’s Disease
"Weight gain, cravings for processed food, fatigue, mood swings, difficulty concentrating",Junk Food Addiction
"Fever, chills, headache, muscle pain, nausea, jaundice, liver dysfunction",Jungle Yellow Fever
"Itching, swelling, hives, shortness of breath, anaphylaxis (in severe cases)",Jellyfish Allergy
"Abdominal swelling, early puberty, irregular menstrual periods, abdominal pain",Juvenile Granulosa Cell Tumor
"Foot abnormalities, wide big toes, craniofacial deformities, premature fusion of skull bones",Jackson-Weiss Syndrome
"Vision loss, difficulty seeing fine details, blind spots, sensitivity to light",Juvenile Macular Degeneration
"Red, raw skin, diaper rash, blisters, skin breakdown, secondary infections",Jacquet’s Dermatitis
"Nasal obstruction, nosebleeds, facial swelling, headache, hearing loss",Juvenile Nasopharyngeal Angiofibroma
"Abdominal pain, fever, bloating, nausea, vomiting, digestive discomfort",Jejunal Diverticulitis
"Fatigue, joint pain, skin rash, kidney problems, anemia, fever",Juvenile Systemic Lupus Erythematosus
"Shared organs or structures in the head, developmental delays, complications depending on shared anatomy",Janiceps Twins (Conjoined Twins)
"Uneven shoulders, back pain, spinal curvature, uneven waist, ribs sticking out",Juvenile Idiopathic Scoliosis
"Tall stature, learning difficulties, speech delays, motor coordination issues, behavior problems",Jacobs Syndrome (XYY Syndrome)
"Frequent urination, excessive thirst, weight loss, fatigue, blurred vision",Juvenile Diabetes (Type 1 Diabetes)
"Swelling, pain, stiffness, reduced range of motion, warmth in the affected joint",Joint Effusion (Fluid on the Joint)
"Fatigue, weight loss, joint pain, skin lesions, lung involvement, swollen lymph nodes",Juvenile Sarcoidosis
"Abdominal distension, bile-stained vomiting, inability to pass stool, dehydration, failure to thrive",Jejunoileal Atresia
"Itching, redness, flaking skin, burning sensation in the groin area, rash",Jock Itch (Tinea Cruris)
"Excessive thirst, frequent urination, hunger, weight loss, fatigue",Juvenile-Onset Diabetes
"Swelling of the neck, pain in the jaw or neck, headache, fever, dizziness",Jugular Vein Thrombosis
"Swollen lymph nodes, fatigue, fever, night sweats, weight loss, difficulty breathing",Juvenile Non-Hodgkin Lymphoma
"Swelling or lumps in the jaw, pain, loose teeth, difficulty chewing or swallowing, facial numbness",Jaw Cancer
"Excessive urination, excessive thirst, weakness, kidney dysfunction, growth retardation",Juvenile Nephronophthisis
"Burning sensation in the mouth, swelling of the lips or tongue, hives, abdominal pain, difficulty breathing",Jalapeño Pepper Allergy
"Redness, itching, irritation of the vulva, discharge, pain during urination",Juvenile Vulvar Dermatitis
"Yellowing of the eyes, itchy skin, fatigue, dark urine, pale stools, liver dysfunction",Jaundiced Eye Syndrome
"Fatigue, weakness, vision problems, muscle stiffness, balance issues",Juvenile Multiple Sclerosis (MS)
"Tremors, muscle stiffness, slow movements, impaired posture, difficulty speaking",Juvenile Parkinsonism
"Pain, swelling, redness around joint after procedure, fever, warmth of joint",Joint Aspiration Infection
"Developmental delay, intellectual disability, autism spectrum disorder, low muscle tone, speech delays",Jansen De Vries Syndrome
"Muscle weakness, drooping eyelids, difficulty swallowing, slurred speech, double vision",Juvenile Myasthenia Gravis
"Bloating, gas, cramps, diarrhea, sugar cravings, fatigue",Jelly Belly Syndrome (Carbohydrate Sensitivity)
"Joint pain, stiffness, improper movement, inflammation, misaligned posture",Joint Malalignment Syndrome
"Painless lump in the salivary gland, swelling, facial asymmetry, difficulty swallowing",Juvenile Pleomorphic Adenoma
"Skin abscesses, lung infections, recurrent pneumonia, eczema, high IgE levels",Job’s Syndrome (Autosomal Dominant Hyper-IgE Syndrome)
"Joint pain, stiffness, swelling, red or scaly skin, pitted nails",Juvenile Psoriatic Arthritis
"Facial weakness, drooping on one side of the face, difficulty closing the eye, loss of facial movement",Jingle Bell Palsy
"Abdominal pain, bloating, irregular menstrual periods, early puberty in girls",Juvenile Granulosa Cell Tumor of the Ovary
"Yellowing of skin and eyes, dark urine, pale stools, nausea, fatigue, abdominal pain",Jaundice Associated with Hepatitis
"Shortness of breath, chest pain, fatigue, palpitations, fainting, abnormal heart rhythms",Juvenile Hypertrophic Cardiomyopathy
"Abdominal pain, weight loss, nausea, vomiting, bloating, gastrointestinal bleeding",Jejunal Cancer
"Dark brown or black mole, irregular border, growth or change in appearance, risk of melanoma",Junctional Nevus
"Headache, scalp tenderness, jaw pain, fever, blurred or double vision, fatigue",Juvenile Temporal Arteritis
"Fever, chills, sweating, headache, nausea, vomiting, anemia.",Malaria
"Fever, headache, stiff neck, sensitivity to light, nausea, vomiting, confusion.",Meningitis
"Chest pain, shortness of breath, nausea, cold sweat, pain in arms, back, neck, or jaw.",Myocardial Infarction
"Fatigue, difficulty walking, numbness, vision problems, muscle spasms, cognitive changes.",Multiple Sclerosis
"Swelling of salivary glands, fever, headache, muscle pain, fatigue, loss of appetite.",Mumps
"High fever, cough, runny nose, sore throat, inflamed eyes, red rash.",Measles
"Tall stature, long limbs, heart problems, flexible joints, vision issues.",Marfan Syndrome
"Change in mole appearance, new growth, itching or bleeding of a mole, darkening of skin.",Melanoma
"Cyanosis (bluish skin), fatigue, shortness of breath, headaches.",Methemoglobinemia
"Episodes of vertigo, tinnitus (ringing in the ear), hearing loss, feeling of fullness in the ear.",Meniere's Disease
"Diarrhea, weight loss, fatigue, bloating, nutrient deficiencies.",Malabsorption Syndrome
"Breast pain, swelling, warmth, redness, fever.",Mastitis
"Muscle weakness, fatigue, difficulty swallowing and breathing, drooping eyelids.",Myasthenia Gravis
"Fever, rash, headaches, muscle aches, swollen lymph nodes.",Monkeypox
"Severe weight loss, stunted growth, fatigue, dehydration.",Marasmus
"Enlarged liver and spleen, skeletal abnormalities, heart problems, developmental delays.",Mucopolysaccharidosis
Brown or gray-brown patches on the face.,Melasma
"Sharp, burning pain in the ball of the foot, tingling, or numbness in toes.",Morton's Neuroma
"Muscle weakness, exercise intolerance, pain, fatigue, respiratory issues.",Mitochondrial Myopathy
"Hot flashes, night sweats, mood changes, sleep disturbances, vaginal dryness.",Menopause
"Rapid increase in body temperature, muscle rigidity, increased heart rate.",Malignant Hyperthermia
"Fever, weight loss, respiratory issues depending on the type.",Mycobacterial Infections
"Abnormally small head size, developmental delays, intellectual disability.",Microcephaly
"Muscle weakness, cramps, fatigue, muscle pain.",Myopathy
"Pigmented lesions in mucosal areas, ulceration, bleeding, pain.",Mucosal Melanoma
"Skeletal abnormalities, short stature, heart issues, joint pain.",Morquio Syndrome
"Swollen lymph nodes, fever, night sweats, weight loss.",Malignant Lymphoma
Symptoms vary based on the cancer type and location.,Metastatic Cancer
"Progressive muscle weakness, loss of muscle mass, difficulty with movement.",Muscular Dystrophy
"Fatigue, weakness, pain in the left upper abdomen, night sweats, fever, itching.",Myelofibrosis
"Irregular periods, severe pain, heavy bleeding.",Menstrual Disorders
"Fatigue, weakness, muscle cramps, poor concentration.",Mineral Deficiency
"Blisters and sores on mucous membranes, pain, difficulty swallowing.",Mucous Membrane Pemphigoid
"Skin lesions, flushing, abdominal pain, diarrhea, anaphylaxis.",Mastocytosis
"Uncontrolled cell growth, symptoms depend on the affected area.",Malignant Neoplasm
"Nodular lesions on mucosal surfaces, can cause obstruction or pain.",Mucosal Neuroma
"Eye pain, redness, discharge, blurred vision.",Microbial Keratitis
"Muscle weakness, neurological symptoms, exercise intolerance.",Mitochondrial Disease
"Fatigue, pallor, shortness of breath, rapid heart rate.",Malarial Anemia
"Excess body fat, increased risk for other diseases.",Morbid Obesity
"Muscle pain, stiffness, tenderness in localized areas.",Myofascial Pain Syndrome
Severe emotional distress related to menstrual cycle.,Menstrual Dysphoria
"Memory loss, difficulties with thinking and reasoning skills.",Mild Cognitive Impairment
"Aortic dilation, mitral valve prolapse, arrhythmias.",Marfan Heart Disease
"Nasal congestion, headache, fever, facial swelling, vision changes.",Mucormycosis
"Inflammation of the spinal cord, weakness, sensory issues, loss of bladder control.",Myelitis
"Headaches, confusion, seizures, nausea, vomiting.",Meningeal Carcinomatosis
"Joint stiffness, skeletal abnormalities, hearing loss.",Mucopolysaccharidosis II
"Fatigue, increased risk of infections, easy bruising or bleeding.",Myelodysplastic Syndrome
"Fatigue, fever, sore throat, swollen lymph nodes.",Mononucleosis
"Skin patches that may be discolored, thickened, or hardened.",Morphea
"Fever, cough, chest pain, joint pain, headache.",Melioidosis
"Swelling and pain in the testicles, fever, headache.",Mumps Orchitis
"Symptoms may include neck swelling, difficulty swallowing, hoarseness.",Medullary Thyroid Carcinoma
"Sudden attacks of vertigo, tinnitus, hearing loss.",Meniere's Attack
"Severe muscle weakness, difficulty breathing.",Myasthenic Crisis
"Symptoms vary depending on the medication; may include confusion, difficulty breathing, unconsciousness.",Medication Overdose
"Mild to moderate intellectual disability, distinctive facial features, hypotonia.",Mosaic Down Syndrome
"Fever, pain in the affected area, possible embolic events.",Mycotic Aneurysm
"Soft tissue swelling, tenderness, discomfort.",Mucous Cyst
"Low testosterone levels, decreased libido, erectile dysfunction.",Male Hypogonadism
"Palpitations, chest pain, fatigue, anxiety.",Mitral Valve Prolapse
Bleeding between periods.,Metrorrhagia
"Autonomic dysfunction, movement disorders, balance problems.",Multiple System Atrophy
"Sudden muscle jerks, spasms, can affect various muscle groups.",Myoclonus
"Recurrent episodes of vertigo, tinnitus, hearing loss, aural fullness.",Meniere's Syndrome
"Increased pigmentation of the skin, often associated with certain diseases.",Melanosis
"Developmental delays, skeletal abnormalities, heart issues, hearing loss.",Mucopolysaccharidosis I
"Soft tissue tumor, typically found in the breast or chest wall.",Myofibroblastoma
Pain and inflammation in the ball of the foot.,Metatarsalgia
Type of spina bifida with protrusion of the spinal cord and nerves.,Myelomeningocele
"Chest pain, difficulty breathing, cough, or other respiratory symptoms.",Mediastinal Tumor
"Fever, cough, chest pain, abscess formation, and skin infections.",Melioidosis
"Nausea, vomiting, fatigue, confusion, increased thirst and urination.",Malignant Hypercalcemia
Blue-gray birthmark commonly seen on the back or buttocks of newborns.,Mongolian Spot
"Episodes of vertigo, hearing loss, tinnitus.",Meniere's Disease
"Muscle weakness, fatigue, difficulties with eye movement and swallowing.",Myasthenic Syndrome
Loss of one chromosome from a pair; may lead to developmental disorders.,Monosomy
"Aggressive cancer, symptoms depend on tumor location.",Malignant Rhabdoid Tumor
"Melanoma affecting mucosal surfaces, may cause pain or bleeding.",Mucosal Melanoma
"Extramedullary manifestation of acute myeloid leukemia, may cause swelling and pain.",Myeloid Sarcoma
"Symptoms include abnormal bleeding, pelvic pain, and nausea.",Molar Pregnancy
"Enlarged thyroid gland, may cause difficulty swallowing or breathing.",Multinodular Goiter
"Headaches, seizures, vision problems, depending on the tumor location.",Meningioma
"Fever, weight loss, fatigue, and respiratory symptoms, especially in immunocompromised individuals.",Mycobacterium Avium Complex
"Severe hypothyroidism, low body temperature, confusion, respiratory failure.",Myxedema Coma
"Swelling in the affected area, may cause pain or discomfort.",Mucus Retention Cyst
"Abnormal protein production, may cause weakness, fatigue, or kidney problems.",Monoclonal Gammopathy
"Pain, swelling, limited range of motion in the affected muscle.",Muscle Strain
"Skin lesions, itching, and possible progression to systemic symptoms.",Mycosis Fungoides
"Benign skin lesion, usually asymptomatic but may change in appearance.",Melanocytic Nevus
"Ear pain, discharge, and possible fever, particularly in immunocompromised individuals.",Malignant Otitis Externa
"Symptoms may include fatigue, increased risk of infections, easy bruising or bleeding.",Myelodysplastic Syndromes
"Swelling of the salivary glands, fever, muscle pain, headache.",Mumps Virus Infection
"Developmental delay, skeletal abnormalities, behavioral issues.",Mucopolysaccharidosis III
"Less pain and faster recovery, specific symptoms depend on the condition being treated.",Minimally Invasive Surgery
"Chronic muscle pain and tension, sensitivity in specific areas.",Myofascial Release Syndrome
"Episodes of vertigo, tinnitus, hearing loss.",Meniere's Disease
"Abdominal pain, rectal bleeding, obstruction in children.",Meckel's Diverticulum
"Stroke symptoms, headaches, transient ischemic attacks.",Moyamoya Disease
"Chest pain, fever, difficulty breathing, and possible spread of infection.",Mediastinitis
"Fatigue, jaundice, low blood counts, and signs of organ dysfunction.",Microangiopathic Hemolytic Anemia
"Muscle weakness, neurological symptoms, exercise intolerance.",Mitochondrial Encephalomyopathy
"Blurred or reduced central vision, difficulty recognizing faces.",Macular Degeneration
"Weakness, sensory issues, bowel and bladder dysfunction.",Myelitis
"Chronic pain, muscle tightness, and tenderness in localized areas.",Myofascial Pain Disorder
"Swelling in the neck, difficulty swallowing, and possibly hyperthyroidism symptoms.",Multinodular Goiter
"Tall stature, long limbs, heart problems, vision issues, and joint laxity.",Marfan Syndrome
"Sudden onset of fever, headache, stiff neck, sensitivity to light, nausea, vomiting.",Meningococcal Disease
"Facial swelling, sinus pain, black lesions, fever, cough, and difficulty breathing.",Mucormycosis
Heavy or prolonged menstrual bleeding.,Menorrhagia
"Disorders related to the immune response in mucosal tissues, causing a range of symptoms.",Mucosal Immunology
"Soft tissue tumor, often presents as a painless mass.",Malignant Fibrous Histiocytoma
"High blood pressure, high blood sugar, excess body fat around the waist, and abnormal cholesterol levels.",Metabolic Syndrome
"Changes in moles, skin discoloration, itching, or bleeding.",Melanoma
"Symptoms include fatigue, weakness, and pain in the abdomen.",Myelofibrosis
"Shortness of breath, fatigue, irregular heartbeat, and swollen feet or legs.",Mitral Stenosis
"Headaches, confusion, nausea, vomiting, and neurological symptoms.",Meningeal Carcinomatosis
"Benign skin lesion, usually asymptomatic but may change in appearance.",Melanocytic Nevus
"Muscle weakness, myotonia, fatigue, cataracts, heart problems, and endocrine disorders.",Myotonic Dystrophy
"Headache, confusion, dizziness, balance problems, and changes in mood or behavior.",Mild Traumatic Brain Injury
"Muscle cramps, fatigue, weakness, and irregular heartbeat.",Magnesium Deficiency
"Generalized weakness, can be caused by various underlying conditions.",Muscle Weakness
"New or changing mole, itching, bleeding, skin changes.",Malignant Melanoma
"Short stature, skeletal deformities, heart and joint issues.",Mucopolysaccharidosis
"Memory loss, difficulty concentrating, increased forgetfulness.",Mild Cognitive Impairment
"Pain, swelling, bruising in the foot, difficulty walking.",Metatarsal Fracture
"Fever, headache, stiff neck, nausea, vomiting, confusion.",Meningitis
"Vertigo, hearing loss, tinnitus, aural fullness.",Meniere's Disease
"Abdominal pain, vomiting, and failure to thrive in infants.",Malrotation
"Muscle weakness, neurological issues, exercise intolerance.",Mitochondrial Cytopathy
"Muscle weakness, particularly in boys, difficulty in movements.",Myotubular Myopathy
"Abdominal distention, discomfort, weight gain due to fluid accumulation.",Malignant Ascites
"Chest pain, fatigue, heart palpitations, shortness of breath.",Myocarditis
"Swollen lymph nodes, abdominal pain, gastrointestinal symptoms.",Mucosa-Associated Lymphoid Tissue (MALT) Lymphoma
"Chronic pain in specific muscles, tightness, and sensitivity.",Myofascial Pain Syndrome
"Symptoms include breast changes, pain, swelling, and possible systemic symptoms.",Metastatic Breast Cancer
Presence of two or more genetically different cell lines in one individual; can affect various organs.,Mosaicism
"Hot flashes, mood changes, sleep disturbances, vaginal dryness.",Menopausal Symptoms
"Bone pain, fatigue, weakness, recurrent infections, anemia.",Multiple Myeloma
"Sudden high fever, severe headache, neck stiffness, and sensitivity to light.",Meningococcal Meningitis
"Diarrhea, weight loss, fatigue, bloating.",Malabsorption
"Muscle weakness, cramps, and fatigue.",Myopathy
"Symptoms depend on the location, may include neck swelling and hoarseness.",Medullary Carcinoma
"Dark pigmentation of the colon, usually benign and asymptomatic.",Melanosis Coli
"Muscle inflammation, weakness, and pain.",Myositis
"Fatigue, sore throat, fever, swollen lymph nodes.",Mononucleosis
A change in cells that results in cancer. Symptoms vary widely depending on the organ affected.,Malignant Transformation
"Symptoms may include dysmenorrhea, premenstrual syndrome (PMS), and menorrhagia.",Menstruation-Related Disorders
"Low blood pressure, fatigue, dizziness, hyperkalemia (high potassium levels).",Mineralocorticoid Deficiency
"Swelling of lymph nodes in the mediastinum, symptoms may include cough, chest pain, or shortness of breath.",Mediastinal Lymphadenopathy
"BMI of 40 or more, may lead to various health problems such as diabetes and hypertension.",Morbid Obesity
"Itching, redness, and flaking of the nipple skin; may indicate underlying breast cancer.",Mammary Paget Disease
"Symptoms may include headaches, seizures, vision changes, depending on tumor location.",Meningioma
"Inflammation of the spinal cord; symptoms include weakness, sensory issues, and bowel/bladder dysfunction.",Myelitis
"Cessation of menstruation, hot flashes, mood swings, sleep disturbances, vaginal dryness.",Menopause
"Group of disorders caused by poorly formed or dysfunctional blood cells; symptoms include fatigue, weakness, and easy bruising.",Myelodysplastic Syndromes
"Vision changes, blurred vision, often associated with diabetes or eye conditions.",Macular Edema
"Cyanosis (blue skin), fatigue, shortness of breath, especially after exposure to certain chemicals.",Methemoglobinemia
"Shortness of breath, chest pain, persistent cough, weight loss, often linked to asbestos exposure.",Mesothelioma
"Rapid increase in body temperature, muscle rigidity, and increased heart rate during anesthesia.",Malignant Hyperthermia
"Subtle memory and cognitive difficulties, greater than expected for age but not severe enough to interfere with daily life.",Mild Cognitive Impairment
"Fatigue, weakness, pale skin, and shortness of breath due to vitamin B12 or folate deficiency.",Megaloblastic Anemia
"Weakness, numbness, or pain in a specific nerve distribution, often due to compression or injury.",Mononeuropathy
"Fever, rash, lymphadenopathy, associated with infection (often viral).",Mucocutaneous Lymph Node Syndrome
"Swollen lymph nodes, fever, night sweats, weight loss, fatigue.",Lymphoma
"Fatigue, frequent infections, easy bruising or bleeding, weight loss, swollen lymph nodes.",Leukemia
"Fatigue, jaundice, swelling in the legs and abdomen, itchy skin, easy bruising.",Liver Cirrhosis
"Weight loss, loss of appetite, upper abdominal pain, jaundice, swelling in the abdomen.",Liver Cancer
"Fatigue, joint pain, rashes (especially a butterfly-shaped rash on the face), fever.",Lupus (Systemic Lupus Erythematosus)
"Cough, shortness of breath, high fever, muscle aches, headaches.",Legionnaires' Disease
"Rash (bull's-eye appearance), fever, chills, fatigue, joint pain.",Lyme Disease
"Hoarseness, loss of voice, throat pain, cough.",Laryngitis
"Pain in the lower back, stiffness, muscle spasms.",Lumbago (Lower Back Pain)
"Itchy, flat-topped, purple lesions on the skin or mucous membranes.",Lichen Planus
"Fatigue, jaundice, swelling in the legs or abdomen, abdominal pain.",Liver Disease
"Sudden shortness of breath, chest pain, rapid heartbeat.",Lyophilized Powder Pulmonary Embolism
"Red streaks on the skin, fever, chills, swollen lymph nodes.",Lymphangitis
"Skin lesions, numbness in hands and feet, muscle weakness, and eye problems.",Leprosy (Hansen's Disease)
"Bloating, diarrhea, gas, stomach cramps after consuming dairy products.",Lactose Intolerance
"Hip pain, limping, stiffness in the hip joint, referred pain in the knee.",Legg-Calvé-Perthes Disease
"Swelling, high blood pressure, changes in urine color or frequency, fatigue.",Lupus Nephritis
"Itchy white patches on the skin, particularly in the genital area, pain during intercourse.",Lichen Sclerosus
"Fever, chills, abdominal pain, loss of appetite, weight loss.",Liver Abscess
"Severe infections, delayed separation of the umbilical cord, poor wound healing.",Leukocyte Adhesion Deficiency
"Weakness, liver enlargement, developmental delays, and problems with movement.",Lipid Storage Disorders
"Headaches, vision problems, hormonal imbalances.",Lymphocytic Hypophysitis
"Pain, weakness, or numbness in the hips, thighs, and legs.",Lumbosacral Plexopathy
"Muscle weakness, breathing problems, and heart issues.",Late-Onset Pompe Disease
"Hoarseness, thickened skin, and yellowish patches on mucous membranes.",Lipoid Proteinosis
"Chronic diarrhea, abdominal pain, weight loss.",Lymphocytic Colitis
"Pain and tenderness on the outer part of the elbow, weakness in grip.",Lateral Epicondylitis (Tennis Elbow)
"Fainting, palpitations, seizures, and sudden cardiac arrest.",Long QT Syndrome
"Fever, fatigue, weight loss, swollen lymph nodes, and frequent infections.",Lymphoid Leukemia
"Hoarseness, persistent cough, difficulty swallowing, throat pain.",Laryngeal Cancer
"Swelling in the arms or legs, heaviness, and tightness in the affected area.",Lymphoedema
"Cough, shortness of breath, high fever, muscle aches, and headaches.",Legionella Pneumonia
"Weakness in the hip and shoulder muscles, difficulty climbing stairs or lifting objects.",Limb-Girdle Muscular Dystrophy
"Weakness, nausea, vomiting, abdominal pain, and rapid breathing.",Lactate Acidosis
"Back pain, numbness or weakness in the legs, pain while walking.",Lumbar Spinal Stenosis
"Memory loss, confusion, seizures, and behavioral changes.",Limbic Encephalitis
"Itching, hives, respiratory issues, and anaphylaxis after exposure to latex.",Latex Allergy
"Abdominal pain, changes in bowel habits, blood in stool, weight loss.",Luminal GIT Cancer
"Fever, headache, chills, muscle aches, and jaundice.",Leptospirosis
"Shortness of breath, chest pain, and coughing up blood.",Lymphangioleiomyomatosis
"Mood swings, memory loss, and emotional disturbances.",Limbic Dysfunction
"Hoarseness, difficulty swallowing, and coughing.",Laryngeal Paralysis
"Dizziness, difficulty swallowing, and loss of pain/temperature sensation on one side of the body.",Lateral Medullary Syndrome
"Abdominal pain, nausea, jaundice.",Lucent Hepatic Lesions
"Hoarseness, voice changes, and difficulty breathing.",Laryngeal Papillomatosis
"Swollen lymph nodes, fever, night sweats, weight loss.",Lymphoblastic Lymphoma
Increased risk of health issues such as infections and developmental delays.,Low Birth Weight
"Swollen lymph nodes, fever, fatigue, weight loss, night sweats.",Lymphoma (Non-Hodgkin)
"Fatigue, rashes, joint pain, and kidney problems.",Lupus Erythematosus
"Hoarseness, sore throat, difficulty breathing.",Laryngeal Infection
"Cognitive decline, motor dysfunction, seizures.",Leukoencephalopathy
"Hip pain, limping, limited motion in the hip joint.",Legg-Calvé-Perthes Disease
"Headaches, nausea, vomiting, neurological symptoms.",Leptomeningeal Carcinomatosis
"Hoarseness, difficulty swallowing, and throat pain.",Laryngeal Cysts
"Abnormal fat distribution, insulin resistance, and metabolic issues.",Lipodystrophy
"Diarrhea, abdominal pain, nausea, fever.",Lactobacillus Infection
"Swelling in the limbs, genitalia, and thickening of the skin.",Lymphatic Filariasis
"Bone pain, skin rash, and respiratory issues.",Langerhans Cell Histiocytosis
"Persistent fatigue, lack of energy, sleep disturbances.",Lethargy Syndrome
Blisters and itchy lesions on the skin.,Linear IgA Dermatosis
"Electric shock-like sensations down the spine when bending the neck, associated with multiple sclerosis.",Lhermitte's Sign
"Headaches, nausea, vomiting, and neurological symptoms.",Lateral Ventricular Tumors
"Headaches, seizures, cognitive changes, and neurological deficits.",Low-Grade Glioma
"Increased susceptibility to infections, autoimmunity.",Lymphocyte Activation Gene 3 (LAG-3) Deficiency
"Pain, hematuria (blood in urine), and renal colic from kidney stones.",Lithiasis
"Headaches, hormonal imbalances, vision problems.",Lymphocytic Hypophysitis
"Memory loss, seizures, confusion, behavioral changes.",Limbic Encephalitis
"Fatigue, weight changes, neck swelling, mood changes.",Lymphocytic Thyroiditis
"Bloating, diarrhea, and abdominal pain after consuming dairy products.",Lactose Malabsorption
